growthT,assayT,biorep,generation,growthrate,CN,V,Ccell_pg,M,Ccell_umol,Np 24hrs mumolO2cell,Gp24hrs mumolO2cell,resp24hrs mumolO2cell,cellsml,NP umol C per cell per hour ,GP umol C per cell per hour ,R umol C per cell per hour 
26,25,b4,t300,1.34821272,6.504353026,4847.847619,198.4348513,0.76482632,1.65E-05,7.72E-06,9.17E-06,6.77E-07,609730,3.22E-07,3.82E-07,2.82E-08
26,25,b5,t300,1.310067005,6.807343416,6716.105463,177.4163894,0.772916769,1.48E-05,5.56E-05,6.67E-05,4.16E-05,640530,2.32E-06,2.78E-06,1.73E-06
26,25,b6,t300,0.752111506,7.877800092,9161.693632,196.6671672,0.797525767,1.64E-05,3.58E-05,3.78E-05,4.45E-06,597080,1.49E-06,1.58E-06,1.85E-07
26,30,b1,t300,1.091834746,7.057256523,9051.463831,211.4378126,0.779182582,1.76E-05,3.46E-06,3.92E-06,9.14E-08,622490,1.44E-07,1.63E-07,3.81E-09
26,30,b2,t300,1.018474394,7.775900061,5729.05559,210.0861549,0.795415257,1.75E-05,5.15E-06,7.15E-06,5.88E-07,618750,2.15E-07,2.98E-07,2.45E-08
26,30,b3,t300,1.218742393,6.513228364,2250.374104,205.8846037,0.765071496,1.72E-05,6.66E-06,8.94E-06,8.52E-07,623370,2.78E-07,3.73E-07,3.55E-08
26,30,b4,t300,1.001948483,6.504353026,1438.29183,198.4348513,0.76482632,1.65E-05,8.62E-06,1.08E-05,1.14E-06,611710,3.59E-07,4.50E-07,4.75E-08
26,30,b5,t300,0.991834763,6.807343416,2650.41154,177.4163894,0.772916769,1.48E-05,5.68E-05,7.93E-05,8.64E-05,584870,2.37E-06,3.30E-06,3.60E-06
26,30,b6,t300,0.857823456,7.877800092,5355.564721,196.6671672,0.797525767,1.64E-05,4.49E-05,5.12E-05,1.72E-05,648450,1.87E-06,2.13E-06,7.17E-07
26,32,b1,t300,1.894892397,7.057256523,5115.061335,211.4378126,0.779182582,1.76E-05,6.60E-06,8.71E-06,7.91E-07,569140,2.75E-07,3.63E-07,3.30E-08
26,32,b2,t300,1.287340021,7.775900061,6716.105463,210.0861549,0.795415257,1.75E-05,5.85E-06,7.84E-06,6.66E-07,618750,2.44E-07,3.27E-07,2.78E-08
26,32,b3,t300,0.76396559,6.513228364,7418.56197,205.8846037,0.765071496,1.72E-05,7.77E-06,8.62E-06,3.88E-07,646250,3.24E-07,3.59E-07,1.62E-08
26,32,b4,t300,1.109265993,6.504353026,5379.929939,198.4348513,0.76482632,1.65E-05,8.00E-06,1.06E-05,1.26E-06,640200,3.33E-07,4.42E-07,5.25E-08
26,32,b5,t300,1.549071138,6.807343416,6927.627358,177.4163894,0.772916769,1.48E-05,4.38E-05,5.63E-05,3.72E-05,612700,1.83E-06,2.35E-06,1.55E-06
26,32,b6,t300,1.017306133,7.877800092,7580.381311,196.6671672,0.797525767,1.64E-05,4.16E-05,5.04E-05,2.24E-05,625350,1.73E-06,2.10E-06,9.33E-07
26,35,b1,t300,1.630268327,7.057256523,5478.40425,211.4378126,0.779182582,1.76E-05,6.84E-06,9.01E-06,8.43E-07,565070,2.85E-07,3.75E-07,3.51E-08
26,35,b2,t300,1.68214696,7.775900061,2608.41154,210.0861549,0.795415257,1.75E-05,4.95E-06,6.00E-06,2.96E-07,648890,2.06E-07,2.50E-07,1.23E-08
26,35,b3,t300,1.425573181,6.513228364,4178.555124,205.8846037,0.765071496,1.72E-05,3.42E-06,4.07E-06,1.30E-07,599500,1.43E-07,1.70E-07,5.42E-09
26,35,b4,t300,1.442174981,6.504353026,2830.891683,198.4348513,0.76482632,1.65E-05,6.67E-06,7.44E-06,3.10E-07,609070,2.78E-07,3.10E-07,1.29E-08
26,35,b5,t300,1.856277554,6.807343416,6991.461554,177.4163894,0.772916769,1.48E-05,5.04E-06,5.82E-06,2.65E-07,573760,2.10E-07,2.43E-07,1.10E-08
26,35,b6,t300,1.208244982,7.877800092,7652.56289,196.6671672,0.797525767,1.64E-05,3.58E-05,3.78E-05,4.45E-06,603900,1.49E-06,1.58E-06,1.85E-07
26,40,b1,t300,8,7.057256523,9461.693632,211.4378126,0.779182582,1.76E-05,1.70E-09,6.09E-07,5.86E-11,651200,7.08E-11,2.54E-08,2.44E-12
26,40,b2,t300,14,7.775900061,6991.461554,210.0861549,0.795415257,1.75E-05,6.45E-07,1.19E-06,4.28E-08,644490,2.69E-08,4.96E-08,1.78E-09
26,40,b3,t300,15,6.513228364,6318.00947,205.8846037,0.765071496,1.72E-05,5.24E-07,1.93E-06,4.29E-08,654060,2.18E-08,8.04E-08,1.79E-09
26,40,b4,t300,9,6.504353026,2315.911443,198.4348513,0.76482632,1.65E-05,4.61E-07,2.48E-06,5.63E-08,642400,1.92E-08,1.03E-07,2.35E-09
26,40,b5,t300,0.304738725,6.807343416,2374.197438,177.4163894,0.772916769,1.48E-05,2.18E-07,6.32E-07,6.11E-09,656480,9.08E-09,2.63E-08,2.55E-10
26,40,b6,t300,0.496857657,7.877800092,6205.5157,196.6671672,0.797525767,1.64E-05,1.66E-07,2.34E-06,2.20E-08,540320,6.92E-09,9.75E-08,9.17E-10
32,15,b1,t300,0.327550144,6.836939516,3171.508735,187.1490302,0.773677301,1.56E-05,1.03E-07,3.16E-06,2.02E-08,442080,4.29E-09,1.32E-07,8.42E-10
32,15,b2,t300,0.298306744,7.191236303,19566.49166,180.3346602,0.782401417,1.50E-05,6.68E-07,2.95E-06,1.02E-07,341520,2.78E-08,1.23E-07,4.25E-09
32,15,b3,t300,0.268155083,7.640377386,21433.79777,119.2824624,0.792539242,9.94E-06,9.59E-06,1.47E-05,4.96E-06,367440,4.00E-07,6.13E-07,2.07E-07
32,15,b4,t300,0.174144074,6.742720702,2781.521024,178.0633654,0.77123826,1.48E-05,4.75E-06,7.54E-06,8.92E-07,615840,1.98E-07,3.14E-07,3.72E-08
32,15,b5,t300,0.263176861,7.349897051,7786.652973,122.1342002,0.786093901,1.02E-05,1.32E-05,1.54E-05,2.86E-06,450000,5.50E-07,6.42E-07,1.19E-07
32,15,b6,t300,0.226887648,7.480983276,11669.57601,201.0013746,0.789051416,1.68E-05,5.36E-06,8.19E-06,9.06E-07,595920,2.23E-07,3.41E-07,3.78E-08
32,20,b1,t300,0.342321045,6.836939516,3958.102058,187.1490302,0.773677301,1.56E-05,1.23E-06,4.30E-06,2.42E-07,548880,5.13E-08,1.79E-07,1.01E-08
32,20,b2,t300,0.331891673,7.191236303,14752.08315,180.3346602,0.782401417,1.50E-05,5.37E-06,9.06E-06,1.32E-06,624000,2.24E-07,3.78E-07,5.50E-08
32,20,b3,t300,0.330798759,7.640377386,17550.2218,119.2824624,0.792539242,9.94E-06,1.97E-05,3.10E-05,2.24E-05,251280,8.21E-07,1.29E-06,9.33E-07
32,20,b4,t300,0.327786692,6.742720702,3210.309314,178.0633654,0.77123826,1.48E-05,7.88E-06,1.20E-05,2.20E-06,548640,3.28E-07,5.00E-07,9.17E-08
32,20,b5,t300,0.332235613,7.349897051,2839.163861,122.1342002,0.786093901,1.02E-05,1.64E-05,2.00E-05,5.86E-06,508560,6.83E-07,8.33E-07,2.44E-07
32,20,b6,t300,0.297056269,7.480983276,6368.5891,201.0013746,0.789051416,1.68E-05,8.10E-06,1.11E-05,1.47E-06,663360,3.38E-07,4.63E-07,6.13E-08
32,25,b1,t300,0.929089446,6.836939516,2853.384765,187.1490302,0.773677301,1.56E-05,3.60E-06,5.63E-06,4.68E-07,259680,1.50E-07,2.35E-07,1.95E-08
32,25,b2,t300,0.310652864,7.191236303,6669.314845,180.3346602,0.782401417,1.50E-05,1.85E-05,2.65E-05,9.90E-06,768240,7.71E-07,1.10E-06,4.13E-07
32,25,b3,t300,0.39266909,7.640377386,4241.015865,119.2824624,0.792539242,9.94E-06,2.03E-05,3.07E-05,2.12E-05,346320,8.46E-07,1.28E-06,8.83E-07
32,25,b4,t300,0.520105627,6.742720702,2139.236875,178.0633654,0.77123826,1.48E-05,1.06E-05,1.57E-05,3.60E-06,689280,4.42E-07,6.54E-07,1.50E-07
32,25,b5,t300,0.306121684,7.349897051,3487.75427,122.1342002,0.786093901,1.02E-05,2.01E-05,2.98E-05,1.92E-05,447120,8.38E-07,1.24E-06,8.00E-07
32,25,b6,t300,0.584192733,7.480983276,2422.060987,201.0013746,0.789051416,1.68E-05,1.18E-05,1.70E-05,3.67E-06,554400,4.92E-07,7.08E-07,1.53E-07
32,30,b1,t300,0.619832478,6.836939516,12231.75096,187.1490302,0.773677301,1.56E-05,1.33E-06,2.32E-06,8.41E-08,355200,5.54E-08,9.67E-08,3.50E-09
32,30,b2,t300,0.650258494,7.191236303,6720.93271,180.3346602,0.782401417,1.50E-05,1.62E-05,3.32E-05,1.83E-05,462480,6.75E-07,1.38E-06,7.63E-07
32,30,b3,t300,0.6225465,7.640377386,5630.661771,119.2824624,0.792539242,9.94E-06,1.62E-05,2.41E-05,1.28E-05,599520,6.75E-07,1.00E-06,5.33E-07
32,30,b4,t300,0.591987438,6.742720702,6755.104412,178.0633654,0.77123826,1.48E-05,8.05E-06,1.35E-05,2.98E-06,993600,3.35E-07,5.63E-07,1.24E-07
32,30,b5,t300,0.603010534,7.349897051,9162.386989,122.1342002,0.786093901,1.02E-05,1.98E-05,2.32E-05,6.65E-06,714000,8.25E-07,9.67E-07,2.77E-07
